Year,Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,Value,women,men,>18,18-25,26-35,36-45,46-55,56+,Women under 18,Women 18-25,Women 26-35,Women 36-45,Women 46-55,Women 56+,Men under 18,Men 18-25,Men 26-35,Men 36-45,Men 46-55,Men 56+,ref_name_uz,ref_name_en,ref_name_ru,ref_code,ref_region_id
2010,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,28001400,,14015000,,,,,,,,,,,,,,,,,,,,,,,
2011,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,29123400,,14568400,,,,,,,,,,,,,,,,,,,,,,,
2012,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,29555400,,14792500,,,,,,,,,,,,,,,,,,,,,,,
2013,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,29993500,,15018700,10303877,4487438,5269620,3750079.0,3006559.0,3175959.0,5007937,2205419,2622051,1895543.0,1543257.0,1700562.0,5295940,2282019,2647569,1854536.0,1463303.0,1475397.0,,,,,
2014,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,30492800,15215300,15277500,10317740,4502577,5445044,3811757.0,3096546.0,3319149.0,5009233,2210486,2706456,1925138.0,1587527.0,1776505.0,5308507,2292091,2738588,1886620.0,1509019.0,1542644.0,,,,,
2015,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,31022500,15470300,15552200,10401904,4496856,5585122,3897226.0,3176075.0,3465342.0,5046180,2204859,2772413,1965111.0,1627293.0,1854447.0,5355724,2291997,2812709,1932116.0,1548782.0,1610896.0,,,,,
2016,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,31575300,15736400,15838900,10531638,4436924,5747842,3981531.0,3256739.0,3620659.0,5103637,2173639,2849922,2003549.0,1667831.0,1937842.0,5428001,2263285,2897920,1977982.0,1588908.0,1682817.0,,,,,
2017,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,32120500,15999500,16121000,10706435,4293361,5922639,4077443.0,3337267.0,3783319.0,5183488,2099865,2934626,2048125.0,1707907.0,2025496.0,5522947,2193496,2988013,2029318.0,1629361.0,1757823.0,,,,,
2018,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,32656700,16258800,16397900,10876996,4158093,6075603,4197410.0,3403727.0,3944831.0,5261002,2032768,3005530,2106877.0,1740909.0,2111684.0,5615994,2125325,3070073,2090533.0,1662818.0,1833147.0,,,,,
2019,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,33255500,16544900,16710600,11117892,4024537,6190445,4322754.0,3467692.0,4132219.0,5369360,1966226,3056994,2167658.0,1772389.0,2212334.0,5748532,2058311,3133451,2155096.0,1695303.0,1919885.0,,,,,
2020,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,33905200,16859900,17045300,11418448,3901507,6250004,4476660.0,3540290.0,4318334.0,5510888,1904979,3082499,2242790.0,1807585.0,2311214.0,5907560,1996528,3167505,2233870.0,1732705.0,2007120.0,,,,,
2021,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,34558900,17180500,17378400,11726897,3777468,6299589,4648807.0,3606312.0,4499819.0,5657544,1842461,3101227,2327588.0,1839205.0,2412454.0,6069353,1935007,3198362,2321219.0,1767107.0,2087366.0,,,,,
2022,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,35271300,17527100,17744200,12118986,3661226,6287644,4824461.0,3676412.0,4702567.0,5846139,1785362,3090850,2411929.0,1872878.0,2519980.0,6272847,1875864,3196794,2412532.0,1803535.0,2182588.0,,,,,
2023,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,36024900,17896300,18128600,12506978,3606616,6244250,4997287.0,3756335.0,4913482.0,6031421,1758619,3065009,2497322.0,1911106.0,2632893.0,6475557,1847997,3179241,2499965.0,1845229.0,2280590.0,,,,,
2024,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,36799800,18274800,18525000,12928189,3594760,6153199,5152457.0,3845354.0,5125813.0,6233231,1751711,3017261,2572209.0,1954047.0,2746293.0,6694958,1843049,3135938,2580248.0,1891307.0,2379520.0,,,,,
2025,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,37543200,18638700,18904500,13291271,3613458,6069332,5282435.0,3951577.0,5335094.0,6407128,1759412,2974915,2633218.0,2004499.0,2859523.0,6884143,1854046,3094417,2649217.0,1947078.0,2475571.0,,,,,
2010,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1632000,,820100,,,,,,,,,,,,,,,,,,,,,,,
2011,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1680900,,839900,,,,,,,,,,,,,,,,,,,,,,,
2012,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1692800,,846500,,,,,,,,,,,,,,,,,,,,,,,
2013,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1711800,,856500,605428,259749,315802,212198.0,160356.0,158266.0,296259,128525,156166,107577.0,83014.0,83806.0,309169,131224,159636,104622.0,77342.0,74460.0,,,,,
2014,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1736500,867200,869300,610029,252180,326305,216997.0,165616.0,165348.0,298222,124821,161018,109828.0,85597.0,87744.0,311807,127359,165287,107170.0,80019.0,77604.0,,,,,
2015,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1763100,879600,883500,616316,246848,333426,223053.0,170573.0,172908.0,300905,122039,164183,112491.0,87988.0,92021.0,315411,124809,169243,110562.0,82585.0,80887.0,,,,,
2016,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1791100,893000,898100,622487,241204,341691,229066.0,175995.0,180600.0,303563,118486,168718,115269.0,90624.0,96321.0,318924,122718,172973,113797.0,85371.0,84279.0,,,,,
2017,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1817500,905700,911800,629828,230222,351772,234915.0,181605.0,189149.0,306903,112107,174556,117776.0,93298.0,101021.0,322925,118115,177216,117139.0,88307.0,88128.0,,,,,
2018,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1842300,917800,924500,633205,224265,358122,242807.0,186323.0,197599.0,308550,109013,177315,121538.0,95742.0,105624.0,324655,115252,180807,121269.0,90582.0,91976.0,,,,,
2019,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1869800,931400,938400,638305,221994,359821,251551.0,191240.0,206872.0,310948,108387,177555,125751.0,98075.0,110635.0,327357,113607,182266,125801.0,93165.0,96237.0,,,,,
2020,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1898300,945200,953100,646933,220878,356831,260645.0,196308.0,216756.0,315014,108103,175552,130232.0,100485.0,115840.0,331919,112775,181279,130413.0,95824.0,100917.0,,,,,
2021,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1923700,957900,965800,653094,220170,352485,270800.0,201105.0,226081.0,318027,107552,173462,135082.0,102722.0,121095.0,335067,112618,179023,135718.0,98383.0,104986.0,,,,,
2022,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1948500,970000,978500,662111,216783,346310,279813.0,205437.0,238035.0,322226,105876,170438,139203.0,104643.0,127597.0,339885,110907,175872,140610.0,100794.0,110439.0,,,,,
2023,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1976200,983600,992600,671109,215949,340254,289385.0,210434.0,249091.0,326559,105337,167563,143524.0,107040.0,133636.0,344550,110612,172691,145861.0,103394.0,115455.0,,,,,
2024,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,2002700,996800,1005900,682582,215306,330826,298119.0,215812.0,260031.0,331783,105214,162897,147760.0,109517.0,139602.0,350799,110092,167929,150360.0,106295.0,120429.0,,,,,
2025,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,2029700,1009900,1019800,689819,215815,326337,304901.0,222376.0,270470.0,335059,105408,160668,150878.0,112512.0,145378.0,354760,110407,165669,154023.0,109864.0,125092.0,,,,,
2010,1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,271500,,132800,,,,,,,,,,,,,,,,,,,Nukus tumani,Nukus District,Нукусский район,7,1
2011,1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,284300,,138700,,,,,,,,,,,,,,,,,,,Nukus tumani,Nukus District,Нукусский район,7,1
2012,1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,286400,,140000,,,,,,,,,,,,,,,,,,,Nukus tumani,Nukus District,Нукусский район,7,1
2013,1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,289000,,141600,97939,42851,54413,37876.0,27787.0,28107.0,47980,21621,27611,19865.0,14703.0,15667.0,49959,21230,26802,18011.0,13084.0,12440.0,Nukus tumani,Nukus District,Нукусский район,7,1
2014,1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,295200,150700,144500,98286,43605,55777,39053.0,29009.0,29473.0,48071,22302,28109,20415.0,15291.0,16502.0,50215,21303,27668,18638.0,13718.0,12971.0,Nukus tumani,Nukus District,Нукусский район,7,1
2015,1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,300700,153100,147600,98940,43460,57174,39951.0,30223.0,30910.0,48308,22229,28628,20680.0,15917.0,17324.0,50632,21231,28546,19272.0,14306.0,13587.0,Nukus tumani,Nukus District,Нукусский район,7,1
2016,1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,303700,154200,149500,99692,41386,58346,40644.0,31156.0,32460.0,48634,20854,29100,21017.0,16422.0,18184.0,51058,20532,29246,19627.0,14734.0,14276.0,Nukus tumani,Nukus District,Нукусский район,7,1
2017,1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,307400,156000,151400,100359,39119,60135,41451.0,32223.0,34151.0,48947,19594,30053,21393.0,16929.0,19101.0,51412,19525,30082,20058.0,15294.0,15050.0,Nukus tumani,Nukus District,Нукусский район,7,1
2018,1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,310900,157700,153200,99851,38030,61570,42714.0,33098.0,35682.0,48709,19001,30678,21865.0,17507.0,20008.0,51142,19029,30892,20850.0,15592.0,15674.0,Nukus tumani,Nukus District,Нукусский район,7,1
2019,1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,314900,159700,155200,99861,37328,62025,44126.0,34232.0,37357.0,48735,18531,30899,22546.0,17999.0,20996.0,51126,18797,31126,21580.0,16233.0,16361.0,Nukus tumani,Nukus District,Нукусский район,7,1
2020,1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,319600,161800,157800,100547,36618,61828,46067.0,35325.0,39198.0,49040,17997,30786,23582.0,18474.0,21951.0,51507,18621,31042,22486.0,16851.0,17248.0,Nukus tumani,Nukus District,Нукусский район,7,1
2021,1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,323800,163900,159900,101528,35715,61166,48288.0,36117.0,41016.0,49451,17612,30414,24552.0,18845.0,23059.0,52077,18103,30752,23736.0,17272.0,17957.0,Nukus tumani,Nukus District,Нукусский район,7,1
2022,1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,329000,166300,162700,102979,35254,60131,50354.0,37008.0,43305.0,50182,17320,29967,25416.0,19236.0,24244.0,52797,17934,30164,24938.0,17772.0,19062.0,Nukus tumani,Nukus District,Нукусский район,7,1
2023,1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,334600,169100,165500,104557,34966,59026,52581.0,38018.0,45410.0,50865,17212,29345,26555.0,19749.0,25380.0,53692,17754,29681,26026.0,18269.0,20030.0,Nukus tumani,Nukus District,Нукусский район,7,1
2024,1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,339200,171400,167800,106095,34904,57577,53877.0,39077.0,47636.0,51481,17258,28800,26994.0,20273.0,26627.0,54614,17646,28777,26883.0,18804.0,21009.0,Nukus tumani,Nukus District,Нукусский район,7,1
2025,1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,344700,174200,170500,107541,34344,57195,55276.0,40387.0,49947.0,52130,17008,28905,27416.0,20877.0,27909.0,55411,17336,28290,27860.0,19510.0,22038.0,Nukus tumani,Nukus District,Нукусский район,7,1
2010,1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,163500,,82600,,,,,,,,,,,,,,,,,,,Amudaryo tumani,Amudaryo District,Амударьинский район,1,1
2011,1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,172300,,87300,,,,,,,,,,,,,,,,,,,Amudaryo tumani,Amudaryo District,Амударьинский район,1,1
2012,1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,174400,,88300,,,,,,,,,,,,,,,,,,,Amudaryo tumani,Amudaryo District,Амударьинский район,1,1
2013,1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,176800,,89700,64502,25580,32242,21307.0,16371.0,16745.0,31304,12013,15809,10764.0,8481.0,8766.0,33198,13567,16433,10544.0,7891.0,7979.0,Amudaryo tumani,Amudaryo District,Амударьинский район,1,1
2014,1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,179100,88200,90900,65019,24551,33179,21922.0,16847.0,17594.0,31602,11399,16251,11003.0,8702.0,9281.0,33417,13152,16928,10919.0,8145.0,8313.0,Amudaryo tumani,Amudaryo District,Амударьинский район,1,1
2015,1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,182200,89700,92500,65794,24296,33903,22377.0,17389.0,18399.0,32038,11271,16514,11171.0,8974.0,9760.0,33756,13025,17389,11207.0,8415.0,8640.0,Amudaryo tumani,Amudaryo District,Амударьинский район,1,1
2016,1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,185700,91400,94300,66969,24138,34524,23057.0,17990.0,19024.0,32620,11054,16854,11445.0,9280.0,10163.0,34349,13084,17670,11612.0,8710.0,8861.0,Amudaryo tumani,Amudaryo District,Амударьинский район,1,1
2017,1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,188700,92800,95900,67861,23165,35352,23728.0,18555.0,20054.0,33081,10682,17055,11759.0,9556.0,10688.0,34780,12483,18297,11970.0,8999.0,9367.0,Amudaryo tumani,Amudaryo District,Амударьинский район,1,1
2018,1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,191600,94200,97400,68589,22894,35537,24660.0,18982.0,20918.0,33445,10680,16943,12238.0,9708.0,11183.0,35144,12214,18594,12422.0,9275.0,9735.0,Amudaryo tumani,Amudaryo District,Амударьинский район,1,1
2019,1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,195300,96100,99200,69659,23148,35445,25618.0,19467.0,21912.0,34035,11006,16760,12715.0,9902.0,11688.0,35624,12142,18685,12903.0,9565.0,10225.0,Amudaryo tumani,Amudaryo District,Амударьинский район,1,1
2020,1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,199200,98100,101100,70851,23450,35230,26827.0,19826.0,22979.0,34719,11163,16552,13353.0,10069.0,12218.0,36132,12287,18678,13474.0,9757.0,10761.0,Amudaryo tumani,Amudaryo District,Амударьинский район,1,1
2021,1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,201400,99300,102100,71271,23786,34550,27774.0,20179.0,23820.0,35017,11364,16122,13836.0,10260.0,12698.0,36254,12422,18428,13938.0,9919.0,11122.0,Amudaryo tumani,Amudaryo District,Амударьинский район,1,1
2022,1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,204800,100900,103900,72661,23514,34268,28656.0,20646.0,25007.0,35602,11339,15978,14142.0,10468.0,13391.0,37059,12175,18290,14514.0,10178.0,11616.0,Amudaryo tumani,Amudaryo District,Амударьинский район,1,1
2023,1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,208600,102800,105800,74190,23733,33829,29400.0,21235.0,26186.0,36360,11488,15749,14482.0,10761.0,13979.0,37830,12245,18080,14918.0,10474.0,12207.0,Amudaryo tumani,Amudaryo District,Амударьинский район,1,1
2024,1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,212100,104500,107600,75763,23907,33060,30312.0,21759.0,27295.0,37174,11553,15354,14891.0,10961.0,14601.0,38589,12354,17706,15421.0,10798.0,12694.0,Amudaryo tumani,Amudaryo District,Амударьинский район,1,1
2025,1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,215600,106200,109400,77035,24216,32617,30837.0,22427.0,28524.0,37800,11652,15209,15042.0,11258.0,15254.0,39235,12564,17408,15795.0,11169.0,13270.0,Amudaryo tumani,Amudaryo District,Амударьинский район,1,1
2010,1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,159100,,80300,,,,,,,,,,,,,,,,,,,Beruniy tumani,Beruniy District,Берунийский район,2,1
2011,1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,162200,,81200,,,,,,,,,,,,,,,,,,,Beruniy tumani,Beruniy District,Берунийский район,2,1
2012,1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,164500,,82300,,,,,,,,,,,,,,,,,,,Beruniy tumani,Beruniy District,Берунийский район,2,1
2013,1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,167300,,83700,59692,26063,31408,20833.0,15411.0,13926.0,29756,12645,15352,10381.0,7962.0,7413.0,29936,13418,16056,10452.0,7450.0,6513.0,Beruniy tumani,Beruniy District,Берунийский район,2,1
2014,1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,170300,85000,85300,59903,26016,32594,21160.0,16037.0,14621.0,29746,12842,15851,10526.0,8226.0,7784.0,30157,13174,16743,10634.0,7812.0,6837.0,Beruniy tumani,Beruniy District,Берунийский район,2,1
2015,1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,173700,86600,87100,61015,25559,33237,21781.0,16677.0,15438.0,30204,12497,16195,10896.0,8511.0,8244.0,30811,13062,17042,10885.0,8166.0,7195.0,Beruniy tumani,Beruniy District,Берунийский район,2,1
2016,1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,177200,88300,88900,62102,25311,33703,22540.0,17400.0,16170.0,30699,12508,16262,11230.0,8860.0,8727.0,31403,12803,17441,11310.0,8540.0,7443.0,Beruniy tumani,Beruniy District,Берунийский район,2,1
2017,1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,180500,89900,90600,17753,6414,9732,6329.0,5501.0,5785.0,31311,11923,16824,11526.0,9168.0,9119.0,32103,12263,17929,11851.0,8761.0,3967.0,Beruniy tumani,Beruniy District,Берунийский район,2,1
2018,1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,183900,91500,92400,64308,23485,35664,24348.0,18410.0,17692.0,31799,11469,17296,12101.0,9318.0,9548.0,32509,12016,18368,12247.0,9092.0,8144.0,Beruniy tumani,Beruniy District,Берунийский район,2,1
2019,1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,187600,93400,94200,65596,22926,36165,25447.0,18866.0,18639.0,32336,11316,17460,12750.0,9502.0,10103.0,33260,11610,18705,12697.0,9364.0,8536.0,Beruniy tumani,Beruniy District,Берунийский район,2,1
2020,1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,191400,95300,96100,67362,22479,36158,26335.0,19530.0,19495.0,33080,11312,17372,13122.0,9877.0,10551.0,34282,11167,18786,13213.0,9653.0,8944.0,Beruniy tumani,Beruniy District,Берунийский район,2,1
2021,1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,194500,96900,97600,68510,21971,36147,27294.0,20026.0,20581.0,33562,11033,17603,13454.0,10120.0,11122.0,34948,10938,18544,13840.0,9907.0,9459.0,Beruniy tumani,Beruniy District,Берунийский район,2,1
2022,1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,197400,98300,99100,69903,21234,35749,28364.0,20467.0,21666.0,34246,10600,17480,13951.0,10343.0,11645.0,35657,10634,18269,14413.0,10125.0,10021.0,Beruniy tumani,Beruniy District,Берунийский район,2,1
2023,1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,201200,100100,101100,71731,21011,35443,29086.0,21144.0,22762.0,35169,10369,17455,14151.0,10681.0,12260.0,36562,10642,17988,14935.0,10463.0,10502.0,Beruniy tumani,Beruniy District,Берунийский район,2,1
2024,1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,205100,101900,103200,74182,20652,34633,29856.0,21782.0,24024.0,36226,10261,17203,14375.0,11044.0,12862.0,37956,10391,17430,15482.0,10738.0,11163.0,Beruniy tumani,Beruniy District,Берунийский район,2,1
2025,1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,209000,103800,105200,75969,20488,34264,30651.0,22322.0,25331.0,36970,10306,16815,14937.0,11276.0,13531.0,38999,10182,17449,15714.0,11046.0,11800.0,Beruniy tumani,Beruniy District,Берунийский район,2,1
2010,1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0,,0,,,,,,,,,,,,,,,,,,,Bo'zatov tumani,Bo'zatov District,Бозатовский район,16,1
2011,1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0,,0,,,,,,,,,,,,,,,,,,,Bo'zatov tumani,Bo'zatov District,Бозатовский район,16,1
2012,1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0,,0,,,,,,,,,,,,,,,,,,,Bo'zatov tumani,Bo'zatov District,Бозатовский район,16,1
2013,1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0,,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Bo'zatov tumani,Bo'zatov District,Бозатовский район,16,1
2014,1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Bo'zatov tumani,Bo'zatov District,Бозатовский район,16,1
2015,1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Bo'zatov tumani,Bo'zatov District,Бозатовский район,16,1
2016,1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Bo'zatov tumani,Bo'zatov District,Бозатовский район,16,1
2017,1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Bo'zatov tumani,Bo'zatov District,Бозатовский район,16,1
2018,1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Bo'zatov tumani,Bo'zatov District,Бозатовский район,16,1
2019,1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Bo'zatov tumani,Bo'zatov District,Бозатовский район,16,1
2020,1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,21500,10600,10900,7467,2479,4473,2579.0,2181.0,2372.0,3613,1227,2208,1229.0,1130.0,1206.0,3854,1252,2265,1350.0,1051.0,1166.0,Bo'zatov tumani,Bo'zatov District,Бозатовский район,16,1
2021,1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,21700,10700,11000,7458,2472,4421,2707.0,2225.0,2455.0,3607,1194,2210,1266.0,1157.0,1261.0,3851,1278,2211,1441.0,1069.0,1195.0,Bo'zatov tumani,Bo'zatov District,Бозатовский район,16,1
2022,1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,21800,10700,11100,7501,2416,4275,2824.0,2245.0,2571.0,3628,1157,2146,1340.0,1153.0,1327.0,3873,1259,2129,1485.0,1092.0,1244.0,Bo'zatov tumani,Bo'zatov District,Бозатовский район,16,1
2023,1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,21900,10800,11100,7462,2346,4206,2892.0,2252.0,2703.0,3601,1124,2140,1362.0,1144.0,1393.0,3861,1222,2066,1530.0,1109.0,1311.0,Bo'zatov tumani,Bo'zatov District,Бозатовский район,16,1
2024,1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,21900,10800,11100,7378,2355,4046,3030.0,2229.0,2839.0,3542,1133,2048,1442.0,1128.0,1469.0,3836,1222,1998,1588.0,1101.0,1371.0,Bo'zatov tumani,Bo'zatov District,Бозатовский район,16,1
2025,1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,21900,10800,11100,7308,2399,3775,3187.0,2246.0,2932.0,3499,1167,1895,1556.0,1132.0,1517.0,3809,1232,1880,1631.0,1114.0,1415.0,Bo'zatov tumani,Bo'zatov District,Бозатовский район,16,1
2010,1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,45100,,23000,,,,,,,,,,,,,,,,,,,Qorao'zak tumani,Qorao'zak District,Караузякский район,10,1
2011,1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,48200,,24500,,,,,,,,,,,,,,,,,,,Qorao'zak tumani,Qorao'zak District,Караузякский район,10,1
2012,1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,48600,,24800,,,,,,,,,,,,,,,,,,,Qorao'zak tumani,Qorao'zak District,Караузякский район,10,1
